Semester,Course ID,Course Name,Instructor,Enrollment,Max Capacity,Offered,A,B,C,D,F,Classroom Location,Class Capacity,Distance to IMU (m),Distance to Wells Library (m),Distance to Luddy Hall (m),Distance to Sample Gates (m),Latitude,Longitude,Preferred Location,Preferred Location Latitude,Preferred Location Longitude,Topics,Keywords,Class Start Time,Preferred Location Time
2018 Fall,INFO-I101,Course 1,Dr. Williams,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,Software Engineering,"agile, testing, programming, software design, debugging",19:08,19:17
2018 Fall,INFO-I102,Course 2,Dr. Smith,117,50,TRUE,65,13,12,23,4,Myles Brand Hall (MB),35,1300,1000,200,1200,39.172,-86.5229,Forest,39.16469636,-86.51291367,Information Systems,"enterprise systems, cloud computing, networking, IT management, databases",19:46,19:56
2018 Fall,ENGR-583,Course 3,Dr. Katy Borner,93,100,TRUE,36,23,14,5,15,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,McNutt,39.1763,-86.5202,HCI,"usability testing, user experience, interaction design, human factors, interface design",11:44,11:49
2018 Fall,INFO-I104,Course 4,Dr. Jones,141,50,TRUE,76,21,5,28,11,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,McNutt,39.1763,-86.5202,Data Science,"statistics, big data, data analysis, machine learning, visualization",09:00,09:07
2018 Fall,INFO-I105,Course 5,Dr. Jones,102,50,TRUE,68,7,9,15,3,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Union Street,39.17137812,-86.50945125,Data Science,"visualization, data analysis, machine learning, big data, statistics",13:29,13:38
2018 Fall,INFO-I106,Course 6,Dr. Williams,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Collins,39.1708,-86.5237,Information Systems,"IT management, cloud computing, networking, enterprise systems, databases",17:21,17:31
2018 Fall,INFO-I107,Course 7,Dr. Brown,140,140,TRUE,20,5,8,2,7,Global and International Studies Building,64,1300,1000,200,1200,39.17,-86.5174,Collins,39.1708,-86.5237,Information Systems,"enterprise systems, databases, cloud computing, IT management, networking",13:03,13:13
2018 Fall,INFO-I108,Course 8,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Read,39.16622221,-86.51488147,Information Systems,"enterprise systems, networking, cloud computing, IT management, databases",10:39,10:47
2018 Fall,INFO-I109,Course 9,Dr. Williams,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Collins,39.1708,-86.5237,AI/ML,"neural networks, reinforcement learning, AI ethics, natural language processing, deep learning",10:31,10:40
2018 Fall,INFO-I110,Course 10,Dr. Smith,143,150,TRUE,83,17,32,0,11,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Union Street,39.17137812,-86.50945125,Data Science,"machine learning, statistics, visualization, big data, data analysis",16:30,16:36
2018 Fall,INFO-I111,Course 11,Dr. Smith,57,50,TRUE,45,5,0,1,6,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Union Street,39.17137812,-86.50945125,Cybersecurity,"penetration testing, risk management, cyber threats, encryption, network security",17:36,17:45
2018 Fall,INFO-I112,Course 12,Dr. Williams,0,0,FALSE,0,0,0,0,0,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Read,39.16622221,-86.51488147,Software Engineering,"programming, testing, software design, debugging, agile",13:46,13:52
2018 Fall,INFO-I113,Course 13,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,IMU,39.1677,-86.5237,AI/ML,"deep learning, AI ethics, neural networks, reinforcement learning, natural language processing",18:06,18:13
2018 Fall,INFO-I114,Course 14,Dr. Brown,92,150,TRUE,30,23,14,16,9,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,McNutt,39.1763,-86.5202,Data Science,"visualization, statistics, big data, machine learning, data analysis",13:15,13:20
2018 Fall,INFO-I115,Course 15,Dr. Williams,42,50,TRUE,22,6,7,6,1,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Read,39.16622221,-86.51488147,HCI,"human factors, interaction design, interface design, user experience, usability testing",09:12,09:19
2018 Fall,INFO-I116,Course 16,Dr. Williams,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Union Street,39.17137812,-86.50945125,Software Engineering,"testing, debugging, agile, software design, programming",14:19,14:27
2018 Fall,INFO-I117,Course 17,Dr. Jones,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Read,39.16622221,-86.51488147,Cybersecurity,"penetration testing, risk management, network security, cyber threats, encryption",10:29,10:39
2018 Fall,INFO-I118,Course 18,Dr. Jones,45,100,TRUE,17,11,8,7,2,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,IMU,39.1677,-86.5237,AI/ML,"neural networks, AI ethics, natural language processing, deep learning, reinforcement learning",17:19,17:29
2018 Fall,INFO-I119,Course 19,Dr. Smith,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Read,39.16622221,-86.51488147,Cybersecurity,"encryption, penetration testing, cyber threats, risk management, network security",11:01,11:11
2018 Fall,INFO-I120,Course 20,Dr. Smith,109,100,TRUE,48,31,3,10,17,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Bookmarket,39.171,-86.5168,Software Engineering,"debugging, agile, programming, testing, software design",13:14,13:23
2018 Fall,INFO-I121,Course 21,Dr. Brown,66,150,TRUE,45,5,0,11,5,Luddy AI,100,600,300,850,500,39.1738,-86.5221,IMU,39.1677,-86.5237,HCI,"human factors, interface design, user experience, interaction design, usability testing",14:08,14:16
2018 Fall,INFO-I122,Course 22,Dr. Smith,0,0,FALSE,0,0,0,0,0,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,McNutt,39.1763,-86.5202,Software Engineering,"agile, testing, programming, debugging, software design",11:26,11:33
2018 Fall,INFO-I123,Course 23,Dr. Williams,101,50,TRUE,77,1,2,14,7,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Collins,39.1708,-86.5237,AI/ML,"AI ethics, neural networks, reinforcement learning, natural language processing, deep learning",16:11,16:16
2018 Fall,INFO-I124,Course 24,Dr. Smith,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Wells Library,39.1724,-86.5168,Software Engineering,"software design, testing, programming, debugging, agile",13:51,14:01
2018 Fall,INFO-I125,Course 25,Dr. Brown,0,0,FALSE,0,0,0,0,0,Wells Library (LI),100,700,200,900,600,39.1724,-86.5168,Forest,39.16469636,-86.51291367,Software Engineering,"testing, programming, software design, debugging, agile",19:01,19:07
2018 Fall,INFO-I126,Course 26,Dr. Johnson,67,100,TRUE,37,15,1,12,2,Psychology Building (PY),85,550,350,950,450,39.17251695,-86.52006939,Collins,39.1708,-86.5237,AI/ML,"neural networks, reinforcement learning, natural language processing, deep learning, AI ethics",18:32,18:42
2018 Fall,INFO-I127,Course 27,Dr. Brown,52,100,TRUE,21,16,2,8,5,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,McNutt,39.1763,-86.5202,AI/ML,"deep learning, reinforcement learning, natural language processing, neural networks, AI ethics",18:39,18:45
2018 Fall,INFO-I128,Course 28,Dr. Williams,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,Wells Library,39.1724,-86.5168,Software Engineering,"testing, debugging, programming, software design, agile",17:10,17:20
2018 Fall,INFO-I129,Course 29,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,IMU,39.1677,-86.5237,Software Engineering,"programming, testing, debugging, agile, software design",13:25,13:33
2018 Fall,INFO-I130,Course 30,Dr. Smith,69,100,TRUE,55,0,1,10,3,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,IMU,39.1677,-86.5237,Data Science,"statistics, machine learning, big data, visualization, data analysis",13:02,13:12
2018 Fall,INFO-I131,Course 31,Dr. Williams,0,0,FALSE,0,0,0,0,0,Luddy Hall (LU),120,1200,900,100,1100,39.17288318,-86.52334277,Union Street,39.17137812,-86.50945125,AI/ML,"reinforcement learning, AI ethics, natural language processing, neural networks, deep learning",13:35,13:43
2018 Fall,INFO-I132,Course 32,Dr. Johnson,0,0,FALSE,0,0,0,0,0,Woodburn Hall (WH),80,500,800,1300,400,39.1681,-86.5199,McNutt,39.1763,-86.5202,AI/ML,"neural networks, AI ethics, reinforcement learning, natural language processing, deep learning",15:03,15:10
2018 Fall,INFO-I133,Course 33,Dr. Johnson,48,100,TRUE,6,13,12,9,8,Jordan Hall (JH),90,600,300,850,500,39.1649,-86.5211,Wells Library,39.1724,-86.5168,Data Science,"data analysis, big data, statistics, visualization, machine learning",10:57,11:06
2018 Fall,INFO-I134,Course 34,Dr. Brown,0,0,FALSE,0,0,0,0,0,Ballantine Hall (BH),150,400,700,1200,300,39.1661,-86.521,Wells Library,39.1724,-86.5168,Software Engineering,"agile, programming, testing, software design, debugging",19:04,19:14
2018 Fall,INFO-I135,Course 35,Dr. Smith,0,0,FALSE,0,0,0,0,0,Swain Hall (SW),75,650,450,1100,550,39.1648,-86.5242,Forest,39.16469636,-86.51291367,Information Systems,"databases, cloud computing, networking, IT management, enterprise systems",10:36,10:46
2018 Fall,INFO-I136,Course 36,Dr. Smith,121,50,TRUE,42,13,25,24,17,Kelley School (KS),200,1300,1000,200,1200,39.1724,-86.5194,Collins,39.1708,-86.5237,Software Engineering,"testing, debugging, programming, software design, agile",17:52,17:58
